canonical_instrument_id,timeframe,open_time,close_time,open,high,low,close,volume,provider,is_complete
SYNTH_XAUUSD,H1,2026-01-09T13:00:00Z,2026-01-09T14:00:00Z,100.0000000000,100.0000000000,51.0000000000,100.0000000000,12000,SYNTHETIC_UTC_V1,true
SYNTH_XAUUSD,H1,2026-01-09T14:00:00Z,2026-01-09T15:00:00Z,100.0000000000,100.0000000000,51.0000000000,100.0000000000,12001,SYNTHETIC_UTC_V1,true
SYNTH_XAUUSD,H1,2026-01-09T15:00:00Z,2026-01-09T16:00:00Z,100.0000000000,100.0000000000,51.0000000000,100.0000000000,12002,SYNTHETIC_UTC_V1,true
SYNTH_XAUUSD,H1,2026-01-09T16:00:00Z,2026-01-09T17:00:00Z,100.0000000000,100.0000000000,51.0000000000,100.0000000000,12003,SYNTHETIC_UTC_V1,true
SYNTH_XAUUSD,H1,2026-01-09T17:00:00Z,2026-01-09T18:00:00Z,100.0000000000,100.0000000000,51.0000000000,100.0000000000,12004,SYNTHETIC_UTC_V1,true
SYNTH_XAUUSD,H1,2026-01-09T18:00:00Z,2026-01-09T19:00:00Z,100.0000000000,100.0000000000,51.0000000000,100.0000000000,12005,SYNTHETIC_UTC_V1,true
SYNTH_XAUUSD,H1,2026-01-09T19:00:00Z,2026-01-09T20:00:00Z,100.0000000000,100.0000000000,51.0000000000,100.0000000000,12006,SYNTHETIC_UTC_V1,true
SYNTH_XAUUSD,H1,2026-01-09T20:00:00Z,2026-01-09T21:00:00Z,100.0000000000,100.0000000000,51.0000000000,100.0000000000,12007,SYNTHETIC_UTC_V1,true
SYNTH_XAUUSD,H1,2026-01-09T21:00:00Z,2026-01-09T22:00:00Z,100.0000000000,100.0000000000,51.0000000000,100.0000000000,12008,SYNTHETIC_UTC_V1,true
SYNTH_XAUUSD,H1,2026-01-09T22:00:00Z,2026-01-09T23:00:00Z,100.0000000000,100.0000000000,51.0000000000,100.0000000000,12009,SYNTHETIC_UTC_V1,true
SYNTH_XAUUSD,H1,2026-01-09T23:00:00Z,2026-01-10T00:00:00Z,100.0000000000,100.0000000000,51.0000000000,100.0000000000,12010,SYNTHETIC_UTC_V1,true
SYNTH_XAUUSD,H1,2026-01-10T00:00:00Z,2026-01-10T01:00:00Z,100.0000000000,100.0000000000,51.0000000000,100.0000000000,12011,SYNTHETIC_UTC_V1,true
SYNTH_XAUUSD,H1,2026-01-10T01:00:00Z,2026-01-10T02:00:00Z,100.0000000000,100.0000000000,51.0000000000,100.0000000000,12012,SYNTHETIC_UTC_V1,true
